dataset_name,lab_subject_id,eng_exposure,eng_ws_produced,fr_exposure,fr_ws_produced,eng_wg_understood,eng_wg_produced,eng_wsshort_produced,eng_ws_understood
byers-heinlein_2017,Subject_1,55,31,45,28,NA,NA,NA,NA
byers-heinlein_2017,Subject_2,74,129,26,333,NA,NA,NA,NA
byers-heinlein_2017,Subject_3,54.5,90,45.5,55,NA,NA,NA,NA
byers-heinlein_2017,Subject_4,50,206,50,210,NA,NA,NA,NA
byers-heinlein_2017,Subject_5,63.5,94,36.5,32,NA,NA,NA,NA
byers-heinlein_2017,Subject_6,73,NA,27,NA,NA,NA,NA,NA
byers-heinlein_2017,Subject_7,68.5,6,31.5,NA,NA,NA,NA,NA
byers-heinlein_2017,Subject_8,50,135,50,95,NA,NA,NA,NA
byers-heinlein_2017,Subject_9,60,44,40,35,NA,NA,NA,NA
byers-heinlein_2017,Subject_10,43.5,8,56.5,25,NA,NA,NA,NA
byers-heinlein_2017,Subject_11,62,46,38,22,NA,NA,NA,NA
byers-heinlein_2017,Subject_12,48,44,52,133,NA,NA,NA,NA
byers-heinlein_2017,Subject_13,42,4,58,2,NA,NA,NA,NA
byers-heinlein_2017,Subject_14,38,209,62,194,NA,NA,NA,NA
byers-heinlein_2017,Subject_15,32,26,68,282,NA,NA,NA,NA
byers-heinlein_2017,Subject_16,62,96,38,44,NA,NA,NA,NA
byers-heinlein_2017,Subject_17,56,75,43,14,NA,NA,NA,NA
byers-heinlein_2017,Subject_18,63,23,37,8,NA,NA,NA,NA
byers-heinlein_2017,Subject_19,69,43,31,16,NA,NA,NA,NA
byers-heinlein_2017,Subject_20,40,59,60,144,NA,NA,NA,NA
byers-heinlein_2017,Subject_21,47,30,53,108,NA,NA,NA,NA
byers-heinlein_2017,Subject_22,30.73,65,69.28,57,NA,NA,NA,NA
byers-heinlein_2017,Subject_23,67,72,33,20,NA,NA,NA,NA
byers-heinlein_2017,Subject_24,37,36,63,191,NA,NA,NA,NA
byers-heinlein_2017,Subject_49,50,45,50,51,NA,NA,NA,NA
byers-heinlein_2017,Subject_50,49,76,51,107,NA,NA,NA,NA
byers-heinlein_2017,Subject_51,27,12,59,49,NA,NA,NA,NA
byers-heinlein_2017,Subject_52,62,57,38,17,NA,NA,NA,NA
byers-heinlein_2017,Subject_53,48,51,52,248,NA,NA,NA,NA
byers-heinlein_2017,Subject_54,67,18,29,24,NA,NA,NA,NA
byers-heinlein_2017,Subject_55,70,33,30,18,NA,NA,NA,NA
byers-heinlein_2017,Subject_56,61,49,39,36,NA,NA,NA,NA
byers-heinlein_2017,Subject_57,31,55,69,114,NA,NA,NA,NA
byers-heinlein_2017,Subject_58,53,23,47,20,NA,NA,NA,NA
byers-heinlein_2017,Subject_59,62,234,38,89,NA,NA,NA,NA
byers-heinlein_2017,Subject_60,43,81,57,0,NA,NA,NA,NA
byers-heinlein_2017,Subject_61,63,168,37,138,NA,NA,NA,NA
byers-heinlein_2017,Subject_62,39,59,61,203,NA,NA,NA,NA
byers-heinlein_2017,Subject_63,27,20,74,112,NA,NA,NA,NA
byers-heinlein_2017,Subject_64,66,50,34,26,NA,NA,NA,NA
byers-heinlein_2017,Subject_65,32,14,68,48,NA,NA,NA,NA
byers-heinlein_2017,Subject_66,67,37,33,37,NA,NA,NA,NA
byers-heinlein_2017,Subject_67,64,36,36,51,NA,NA,NA,NA
byers-heinlein_2017,Subject_68,57,454,43,236,NA,NA,NA,NA
byers-heinlein_2017,Subject_69,73,237,27,85,NA,NA,NA,NA
byers-heinlein_2017,Subject_70,43,136,57,176,NA,NA,NA,NA
byers-heinlein_2017,Subject_71,66,188,34,0,NA,NA,NA,NA
byers-heinlein_2017,Subject_72,49,26,51,0,NA,NA,NA,NA
garrison_bergelson_2020,y31,NA,NA,NA,NA,289,25,NA,NA
garrison_bergelson_2020,y34,NA,NA,NA,NA,238,36,NA,NA
garrison_bergelson_2020,y36,NA,NA,NA,NA,335,89,NA,NA
garrison_bergelson_2020,y32,NA,NA,NA,NA,240,4,NA,NA
garrison_bergelson_2020,y33,NA,NA,NA,NA,98,20,NA,NA
garrison_bergelson_2020,y25,NA,NA,NA,NA,61,6,NA,NA
garrison_bergelson_2020,y26,NA,NA,NA,NA,129,0,NA,NA
garrison_bergelson_2020,y27,NA,NA,NA,NA,283,137,NA,NA
garrison_bergelson_2020,y23,NA,NA,NA,NA,244,105,NA,NA
garrison_bergelson_2020,y22,NA,NA,NA,NA,33,1,NA,NA
garrison_bergelson_2020,y40,NA,NA,NA,NA,107,8,NA,NA
garrison_bergelson_2020,y39,NA,NA,NA,NA,47,0,NA,NA
garrison_bergelson_2020,y41,NA,NA,NA,NA,93,17,NA,NA
garrison_bergelson_2020,y1,NA,NA,NA,NA,203,9,NA,NA
garrison_bergelson_2020,y3,NA,NA,NA,NA,194,43,NA,NA
garrison_bergelson_2020,y4,NA,NA,NA,NA,168,16,NA,NA
garrison_bergelson_2020,y5,NA,NA,NA,NA,62,14,NA,NA
garrison_bergelson_2020,y6,NA,NA,NA,NA,241,11,NA,NA
garrison_bergelson_2020,y8,NA,NA,NA,NA,7,1,NA,NA
garrison_bergelson_2020,y9,NA,NA,NA,NA,259,66,NA,NA
garrison_bergelson_2020,y11,NA,NA,NA,NA,189,37,NA,NA
garrison_bergelson_2020,y12,NA,NA,NA,NA,17,0,NA,NA
garrison_bergelson_2020,y13,NA,NA,NA,NA,183,1,NA,NA
garrison_bergelson_2020,y15,NA,NA,NA,NA,295,89,NA,NA
garrison_bergelson_2020,y16,NA,NA,NA,NA,33,5,NA,NA
garrison_bergelson_2020,y17,NA,NA,NA,NA,67,9,NA,NA
garrison_bergelson_2020,y18,NA,NA,NA,NA,121,4,NA,NA
garrison_bergelson_2020,y19,NA,NA,NA,NA,48,12,NA,NA
garrison_bergelson_2020,y20,NA,NA,NA,NA,59,0,NA,NA
garrison_bergelson_2020,y21,NA,NA,NA,NA,28,5,NA,NA
garrison_bergelson_2020,y24,NA,NA,NA,NA,125,2,NA,NA
garrison_bergelson_2020,y28,NA,NA,NA,NA,25,9,NA,NA
garrison_bergelson_2020,y42,NA,NA,NA,NA,0,0,NA,NA
garrison_bergelson_2020,y37,NA,NA,NA,NA,202,20,NA,NA
garrison_bergelson_2020,y29,NA,NA,NA,NA,88,0,NA,NA
garrison_bergelson_2020,y30,NA,NA,NA,NA,125,7,NA,NA
garrison_bergelson_2020,y35,NA,NA,NA,NA,140,3,NA,NA
mahr_coartic,01,NA,NA,NA,NA,NA,NA,81,NA
mahr_coartic,02,NA,NA,NA,NA,NA,NA,30,NA
mahr_coartic,03,NA,NA,NA,NA,NA,NA,34,NA
mahr_coartic,04,NA,NA,NA,NA,NA,NA,14,NA
mahr_coartic,05,NA,NA,NA,NA,NA,NA,71,NA
mahr_coartic,06,NA,NA,NA,NA,NA,NA,11,NA
mahr_coartic,07,NA,NA,NA,NA,NA,NA,20,NA
mahr_coartic,08,NA,NA,NA,NA,NA,NA,53,NA
mahr_coartic,09,NA,NA,NA,NA,NA,NA,8,NA
mahr_coartic,10,NA,NA,NA,NA,NA,NA,52,NA
mahr_coartic,11,NA,NA,NA,NA,NA,NA,83,NA
mahr_coartic,12,NA,NA,NA,NA,NA,NA,19,NA
mahr_coartic,13,NA,NA,NA,NA,NA,NA,84,NA
mahr_coartic,14,NA,NA,NA,NA,NA,NA,51,NA
mahr_coartic,15,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,16,NA,NA,NA,NA,NA,NA,6,NA
mahr_coartic,17,NA,NA,NA,NA,NA,NA,44,NA
mahr_coartic,18,NA,NA,NA,NA,NA,NA,30,NA
mahr_coartic,19,NA,NA,NA,NA,NA,NA,42,NA
mahr_coartic,20,NA,NA,NA,NA,NA,NA,42,NA
mahr_coartic,21,NA,NA,NA,NA,NA,NA,6,NA
mahr_coartic,22,NA,NA,NA,NA,NA,NA,8,NA
mahr_coartic,23,NA,NA,NA,NA,NA,NA,58,NA
mahr_coartic,24,NA,NA,NA,NA,NA,NA,13,NA
mahr_coartic,25,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,26,NA,NA,NA,NA,NA,NA,35,NA
mahr_coartic,27,NA,NA,NA,NA,NA,NA,73,NA
mahr_coartic,28,NA,NA,NA,NA,NA,NA,55,NA
mahr_coartic,29,NA,NA,NA,NA,NA,NA,16,NA
mahr_coartic,30,NA,NA,NA,NA,NA,NA,26,NA
mahr_coartic,31,NA,NA,NA,NA,NA,NA,27,NA
mahr_coartic,32,NA,NA,NA,NA,NA,NA,56,NA
mahr_coartic,33,NA,NA,NA,NA,NA,NA,66,NA
mahr_coartic,34,NA,NA,NA,NA,NA,NA,79,NA
mahr_coartic,35,NA,NA,NA,NA,NA,NA,NA,NA
mahr_coartic,36,NA,NA,NA,NA,NA,NA,66,NA
mahr_coartic,37,NA,NA,NA,NA,NA,NA,28,NA
mahr_coartic,38,NA,NA,NA,NA,NA,NA,53,NA
mahr_coartic,39,NA,NA,NA,NA,NA,NA,7,NA
mahr_coartic,40,NA,NA,NA,NA,NA,NA,69,NA
swingley_aslin_2002,12,NA,6,NA,NA,NA,NA,NA,251
swingley_aslin_2002,13,NA,14,NA,NA,NA,NA,NA,193
swingley_aslin_2002,14,NA,30,NA,NA,NA,NA,NA,239
swingley_aslin_2002,15,NA,10,NA,NA,NA,NA,NA,39
swingley_aslin_2002,16,NA,62,NA,NA,NA,NA,NA,161
swingley_aslin_2002,17,NA,119,NA,NA,NA,NA,NA,178
swingley_aslin_2002,18,NA,88,NA,NA,NA,NA,NA,158
swingley_aslin_2002,19,NA,2,NA,NA,NA,NA,NA,116
swingley_aslin_2002,21,NA,0,NA,NA,NA,NA,NA,38
swingley_aslin_2002,25,NA,25,NA,NA,NA,NA,NA,182
swingley_aslin_2002,26,NA,28,NA,NA,NA,NA,NA,149
swingley_aslin_2002,35,NA,31,NA,NA,NA,NA,NA,204
swingley_aslin_2002,39,NA,3,NA,NA,NA,NA,NA,296
swingley_aslin_2002,40,NA,34,NA,NA,NA,NA,NA,196
swingley_aslin_2002,42,NA,38,NA,NA,NA,NA,NA,199
swingley_aslin_2002,43,NA,10,NA,NA,NA,NA,NA,118
swingley_aslin_2002,44,NA,36,NA,NA,NA,NA,NA,162
swingley_aslin_2002,45,NA,20,NA,NA,NA,NA,NA,188
swingley_aslin_2002,46,NA,0,NA,NA,NA,NA,NA,18
swingley_aslin_2002,47,NA,19,NA,NA,NA,NA,NA,103
swingley_aslin_2002,48,NA,18,NA,NA,NA,NA,NA,110
swingley_aslin_2002,51,NA,1,NA,NA,NA,NA,NA,279
swingley_aslin_2002,52,NA,54,NA,NA,NA,NA,NA,166
swingley_aslin_2002,54,NA,1,NA,NA,NA,NA,NA,224
swingley_aslin_2002,56,NA,4,NA,NA,NA,NA,NA,44
swingley_aslin_2002,57,NA,2,NA,NA,NA,NA,NA,187
swingley_aslin_2002,58,NA,5,NA,NA,NA,NA,NA,115
swingley_aslin_2002,59,NA,28,NA,NA,NA,NA,NA,126
swingley_aslin_2002,60,NA,0,NA,NA,NA,NA,NA,35
swingley_aslin_2002,63,NA,12,NA,NA,NA,NA,NA,167
swingley_aslin_2002,65,NA,3,NA,NA,NA,NA,NA,178
swingley_aslin_2002,67,NA,6,NA,NA,NA,NA,NA,37
swingley_aslin_2002,68,NA,1,NA,NA,NA,NA,NA,18
swingley_aslin_2002,76,NA,17,NA,NA,NA,NA,NA,150
swingley_aslin_2002,77,NA,11,NA,NA,NA,NA,NA,95
swingley_aslin_2002,78,NA,150,NA,NA,NA,NA,NA,75
swingley_aslin_2002,80,NA,14,NA,NA,NA,NA,NA,200
swingley_aslin_2002,81,NA,4,NA,NA,NA,NA,NA,264
swingley_aslin_2002,83,NA,26,NA,NA,NA,NA,NA,241
swingley_aslin_2002,84,NA,10,NA,NA,NA,NA,NA,98
swingley_aslin_2002,85,NA,13,NA,NA,NA,NA,NA,244
swingley_aslin_2002,87,NA,5,NA,NA,NA,NA,NA,215
swingley_aslin_2002,88,NA,56,NA,NA,NA,NA,NA,193
swingley_aslin_2002,90,NA,22,NA,NA,NA,NA,NA,65
swingley_aslin_2002,91,NA,6,NA,NA,NA,NA,NA,283
swingley_aslin_2002,92,NA,31,NA,NA,NA,NA,NA,137
swingley_aslin_2002,93,NA,7,NA,NA,NA,NA,NA,75
swingley_aslin_2002,96,NA,9,NA,NA,NA,NA,NA,190
swingley_aslin_2002,98,NA,15,NA,NA,NA,NA,NA,98
swingley_aslin_2002,100,NA,2,NA,NA,NA,NA,NA,111
